SPAC1805.01c	ppk6	SPAPJ736.02c
SPAC1805.02c	etf2	
SPAC1805.03c	trm13	
SPAC1805.04	nup132	Nup133b
SPAC1805.05	cki3	
SPAC1805.06c	hem2	
SPAC1805.07c	dad2	hos2
SPAC1805.08	dlc1	
SPAC1805.09c	fmt1	
SPAC1805.10		
SPAC1805.11c	rps2602	rps26-2
SPAC1805.12c	ubi2	uep1
SPAC1805.13	rpl14	
SPAC1805.14		
SPAC1805.15c	pub2	
SPAC1805.16c		
SPAC1805.17	crm1	caf2,SPAC1B2.01,bar1,mts10,caf7
SPAC1805.18	pop6	new2
SPAC1834.01	erf1	sup45
SPAC1834.02	aro1	
SPAC1834.03c	hhf1	h4.1
SPAC1834.04	hht1	
SPAC1834.05	alg9	
SPAC1834.06c	pmo25	
SPAC1834.07	klp3	krp1
SPAC1834.08	mak1	phk3
SPAC1834.09	mug51	sap30
SPAC1834.10c		
SPAC1834.11c	sec18	
SPAC1834.13		SPAC1834.12
SPAC1851.02	slc1	
SPAC1851.03	ckb1	
SPAC1851.04c	ric1	SPAC27D7.01c,sat4,vas3
SPAC186.01	pfl9	
SPAC186.02c		
SPAC186.03		
SPAC186.04c		
SPAC186.05c	gdt1	
SPAC186.06		
SPAC186.07c		
SPAC186.08c		
SPAC186.09	pdc102	
SPAC18B11.02c	pus9	
SPAC18B11.03c		
SPAC18B11.04	ncs1	
SPAC18B11.05	gpi18	
SPAC18B11.06	lcp5	
SPAC18B11.07c	rhp6	ubc2,sng1,rad6
SPAC18B11.08c	pat10	
SPAC18B11.09c		
SPAC18B11.10	tup11	
SPAC18B11.11		SPAC1F5.01
SPAC18G6.01c		
SPAC18G6.02c	chp1	
SPAC18G6.03	ypt3	
SPAC18G6.04c	shm2	
SPAC18G6.05c	gcn1	
SPAC18G6.06	utp11	
SPAC18G6.07c	mra1	
SPAC18G6.09c	edc1	dbs1
SPAC18G6.10	lem2	heh1
SPAC18G6.11c	rrn3	
SPAC18G6.12c		
SPAC18G6.13		
SPAC18G6.14c	rps7	
SPAC18G6.15	mal3	
SPAC1952.01	gab1	SPAC1B3.19
SPAC1952.02	tma23	
SPAC1952.03	otu2	
SPAC1952.04c		
SPAC1952.05	gcn5	kat2
SPAC1952.06c		
SPAC1952.07	rad1	rad19
SPAC1952.08c		
SPAC1952.09c	ach1	
SPAC1952.10c		
SPAC1952.11c	ure2	ure1
SPAC1952.12c	csn71	csn7a,csn7
SPAC1952.13	ned1	
SPAC1952.14c	mrpl25	mrp25
SPAC1952.15c	rec24	mug6
SPAC1952.16	rga9	
SPAC1952.17c	tbc13	SPAC890.01c
SPAC19A8.01c	sec73	sec7c,SPAC23H3.01
SPAC19A8.02	ltc2	sip3
SPAC19A8.03	ymr1	
SPAC19A8.04	erg5	cyp61
SPAC19A8.05c	sst4	vps27
SPAC19A8.06	pbr1	
SPAC19A8.07c	imp4	
SPAC19A8.08	upf2	
SPAC19A8.09	yos1	
SPAC19A8.10	rfp1	mug140
SPAC19A8.11c	irc6	
SPAC19A8.12	dcp2	
SPAC19A8.13	usp101	snp1
SPAC19A8.14	pth2	
SPAC19A8.15	trp2	
SPAC19A8.16	prl65	
SPAC19B12.01		SPAC4F10.21
SPAC19B12.02c	gas1	
SPAC19B12.03	bgs3	
SPAC19B12.04	rps3001	rps30-1
SPAC19B12.05c	fcp1	
SPAC19B12.06c	rbd4	ppp79
SPAC19B12.07c		
SPAC19B12.08	atg4	ppp80
SPAC19B12.09	srp14	
SPAC19B12.10	sst2	
SPAC19B12.11c	bud20	
SPAC19B12.12c	yip11	yip1,yip1-a
SPAC19B12.13	cox1102	cox11,cox11-b,SPAPB8E5.01
SPAC19D5.01	pyp2	
SPAC19D5.02c	pex22	
SPAC19D5.03	cid1	
SPAC19D5.04	ptr1	
SPAC19D5.05c	imp3	
SPAC19D5.06c	din1	rai1
SPAC19D5.07	uga1	
SPAC19D5.09c	Tf2-8	SPAC13D1.02c
SPAC19D5.10c		
SPAC19D5.11c	ctf8	
SPAC19E9.01c	nup40	
SPAC19E9.02	fin1	
SPAC19E9.03	pas1	SPAC57A10.01
SPAC19G12.01c	cut20	lid1,apc4,SPAPJ698.04c
SPAC19G12.02c	pms1	
SPAC19G12.03	cda1	
SPAC19G12.04	dal1	
